Date : 2023-08-20 22:01:20
Directory : /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial
Total : 158 files,  25295 codes, 790 comments, 1821 blanks, all 27906 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib/sign_up_page                                                                                                             |          2 |        457 |          8 |         22 |        487 |
| lib/sponsor_job                                                                                                              |          2 |        508 |          7 |         30 |        545 |
| lib/upload_resume                                                                                                            |          2 |        279 |         12 |         40 |        331 |
| lib/widgets                                                                                                                  |          2 |         67 |         12 |          8 |         87 |
| linux                                                                                                                        |          6 |        117 |         27 |         44 |        188 |
| linux (Files)                                                                                                                |          3 |         86 |         18 |         27 |        131 |
| linux/flutter                                                                                                                |          3 |         31 |          9 |         17 |         57 |
| macos                                                                                                                        |          6 |        468 |          5 |         16 |        489 |
| macos/Flutter                                                                                                                |          1 |         30 |          3 |          4 |         37 |
| macos/Runner                                                                                                                 |          4 |        431 |          0 |          8 |        439 |
| macos/Runner (Files)                                                                                                         |          2 |         20 |          0 |          6 |         26 |
| macos/Runner/Assets.xcassets                                                                                                 |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                              |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                                                      |          1 |        343 |          0 |          1 |        344 |
| macos/RunnerTests                                                                                                            |          1 |          7 |          2 |          4 |         13 |
| public                                                                                                                       |          2 |        111 |          6 |          7 |        124 |
| web                                                                                                                          |          2 |         81 |         16 |          7 |        104 |
| windows                                                                                                                      |         11 |        465 |         91 |        148 |        704 |
| windows/flutter                                                                                                              |          3 |         38 |          9 |         17 |         64 |
| windows/runner                                                                                                               |          8 |        427 |         82 |        131 |        640 |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                     | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/.github/workflows/firebase-hosting-merge.yml                  | YAML       |         17 |          2 |          2 |         21 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/.github/workflows/firebase-hosting-pull-request.yml           | YAML       |         14 |          2 |          2 |         18 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/README.md                                                     | Markdown   |          2 |          0 |          2 |          4 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/analysis_options.yaml                                         | YAML       |          1 |          0 |          1 |          2 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/android/app/build.gradle                                      | Gradle     |         55 |          5 |         13 |         73 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/android/app/src/debug/AndroidManifest.xml                     | XML        |          3 |          4 |          1 |          8 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/android/app/src/main/AndroidManifest.xml                      | XML        |         27 |          6 |          1 |         34 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/android/app/src/main/res/drawable-v21/launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/android/app/src/main/res/drawable/launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/android/app/src/main/res/values-night/styles.xml              | XML        |          9 |          9 |          1 |         19 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/android/app/src/main/res/values/styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/android/app/src/profile/AndroidManifest.xml                   | XML        |          3 |          4 |          1 |          8 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/android/build.gradle                                          | Gradle     |         27 |          0 |          5 |         32 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/android/gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/android/gradle/wrapper/gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/android/settings.gradle                                       | Gradle     |          8 |          0 |          4 |         12 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/firebase.json                                                 | JSON       |          7 |         16 |          0 |         23 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/functions/index.js                                            | JavaScript |        113 |         39 |         50 |        202 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/functions/package-lock.json                                   | JSON       |      2,896 |          0 |          1 |      2,897 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/functions/package.json                                        | JSON       |         26 |          0 |          1 |         27 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/ios/Runner/AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json | JSON       |         23 |          0 |          1 |         24 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md     | Markdown   |          3 |          0 |          2 |          5 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/ios/Runner/Base.lproj/LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/ios/Runner/Base.lproj/Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/ios/Runner/Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/ios/RunnerTests/RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/app_state.dart                                            | Dart       |         73 |          6 |         18 |         97 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/auth_manager.dart                                    | Dart       |         56 |          0 |         13 |         69 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/base_auth_user_provider.dart                         | Dart       |         28 |          0 |          7 |         35 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/firebase_auth/anonymous_auth.dart                    | Dart       |          3 |          0 |          2 |          5 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/firebase_auth/apple_auth.dart                        | Dart       |         40 |         12 |          9 |         61 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/firebase_auth/auth_util.dart                         | Dart       |         54 |          2 |         18 |         74 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/firebase_auth/email_auth.dart                        | Dart       |         15 |          0 |          3 |         18 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/firebase_auth/firebase_auth_manager.dart             | Dart       |        257 |         25 |         24 |        306 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/firebase_auth/firebase_user_provider.dart            | Dart       |         50 |          2 |         10 |         62 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/firebase_auth/google_auth.dart                       | Dart       |         18 |          1 |          5 |         24 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/auth/firebase_auth/jwt_token_auth.dart                    | Dart       |          3 |          0 |          2 |          5 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/backend.dart                                      | Dart       |        564 |          9 |         50 |        623 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/firebase/firebase_config.dart                     | Dart       |         17 |          1 |          2 |         20 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/firebase_analytics/analytics.dart                 | Dart       |         29 |          3 |          8 |         40 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/company_details_record.dart                | Dart       |         83 |          5 |         22 |        110 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/firestore.indexes.json                     | JSON       |          3 |          0 |          0 |          3 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/full_job_record.dart                       | Dart       |        183 |         23 |         40 |        246 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/index.dart                                 | Dart       |          3 |          0 |          1 |          4 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/job_info_1_record.dart                     | Dart       |         77 |          4 |         21 |        102 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/job_info_2_record.dart                     | Dart       |         59 |          2 |         19 |         80 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/job_info_3_record.dart                     | Dart       |         97 |          8 |         25 |        130 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/job_info_4_record.dart                     | Dart       |         59 |          1 |         18 |         78 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/progress_record.dart                       | Dart       |         65 |          2 |         19 |         86 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/users_record.dart                          | Dart       |         83 |          6 |         21 |        110 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/util/firestore_util.dart                   | Dart       |        121 |         15 |         17 |        153 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/backend/schema/util/schema_util.dart                      | Dart       |         55 |          3 |         11 |         69 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/billing_details/billing_details_model.dart                | Dart       |         50 |          8 |         13 |         71 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/billing_details/billing_details_widget.dart               | Dart       |        885 |          1 |         36 |        922 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/addCompensation.dart                       | Dart       |         99 |          1 |         14 |        114 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/applicationPref.dart                       | Dart       |         91 |          1 |         14 |        106 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/basicInfoModel.dart                        | Dart       |         77 |          1 |         13 |         91 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/companyDetails.dart                        | Dart       |         72 |          1 |         13 |         86 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/email.dart                                 | Dart       |         93 |          1 |         23 |        117 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/includeDetails.dart                        | Dart       |         57 |          1 |         14 |         72 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/jobDesc.dart                               | Dart       |         43 |          1 |         13 |         57 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/pending.dart                               | Dart       |         43 |          1 |         14 |         58 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/progress.dart                              | Dart       |         36 |          1 |         11 |         48 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/readFullJob.dart                           | Dart       |        304 |          1 |         16 |        321 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/readPartJob.dart                           | Dart       |        225 |          1 |         13 |        239 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/resumeModel.dart                           | Dart       |         37 |          1 |         13 |         51 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/resumeSelectionList.dart                   | Dart       |         37 |          1 |         12 |         50 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/sponsorDetails.dart                        | Dart       |         50 |          1 |         11 |         62 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/firebaseModels/subscriptionModel.dart                     | Dart       |         88 |          1 |         12 |        101 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/custom_functions.dart                        | Dart       |        104 |          0 |          7 |        111 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/custom_icons.dart                            | Dart       |          7 |          1 |          4 |         12 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/flutter_flow_animations.dart                 | Dart       |         85 |          0 |          9 |         94 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/flutter_flow_autocomplete_options_list.dart  | Dart       |         81 |          0 |          4 |         85 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/flutter_flow_choice_chips.dart               | Dart       |        154 |          0 |         11 |        165 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/flutter_flow_count_controller.dart           | Dart       |         64 |          0 |          9 |         73 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/flutter_flow_drop_down.dart                  | Dart       |        213 |          1 |         13 |        227 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/flutter_flow_icon_button.dart                | Dart       |        151 |          0 |         11 |        162 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/flutter_flow_model.dart                      | Dart       |        121 |         22 |         17 |        160 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/flutter_flow_pdf_viewer.dart                 | Dart       |         66 |          0 |          9 |         75 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/flutter_flow_radio_button.dart               | Dart       |        219 |         26 |         20 |        265 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/flutter_flow_theme.dart                      | Dart       |        329 |          1 |         21 |        351 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/flutter_flow_util.dart                       | Dart       |        259 |          0 |         36 |        295 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/flutter_flow_widgets.dart                    | Dart       |        226 |          3 |         14 |        243 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/form_field_controller.dart                   | Dart       |          6 |          0 |          4 |         10 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/internationalization.dart                    | Dart       |         91 |          0 |         17 |        108 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/lat_lng.dart                                 | Dart       |         15 |          0 |          5 |         20 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/nav/nav.dart                                 | Dart       |        349 |         22 |         35 |        406 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/nav/serialization_util.dart                  | Dart       |        244 |          5 |         23 |        272 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/place.dart                                   | Dart       |         41 |          0 |          6 |         47 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/flutter_flow/uploaded_file.dart                           | Dart       |         55 |          0 |          8 |         63 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/forgot_password/forgot_password_model.dart                | Dart       |         17 |          5 |          8 |         30 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/forgot_password/forgot_password_widget.dart               | Dart       |        233 |          0 |         11 |        244 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/global.dart                                               | Dart       |         17 |          0 |          9 |         26 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/home_page/home_page_model.dart                            | Dart       |         46 |          7 |         12 |         65 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/home_page/home_page_provider.dart                         | Dart       |          9 |          0 |          1 |         10 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/home_page/home_page_widget.dart                           | Dart       |      1,291 |         66 |        103 |      1,460 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/index.dart                                                | Dart       |         17 |          2 |          1 |         20 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/login_page/login_page_model.dart                          | Dart       |         43 |          6 |         11 |         60 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/login_page/login_page_widget.dart                         | Dart       |        497 |          0 |         16 |        513 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/main.dart                                                 | Dart       |         92 |          2 |         21 |        115 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/new_job1/new_job1_model.dart                              | Dart       |         52 |          8 |         13 |         73 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/new_job1/new_job1_widget.dart                             | Dart       |        507 |         14 |         21 |        542 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/new_job2/new_job2_model.dart                              | Dart       |         45 |          9 |         10 |         64 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/new_job2/new_job2_widget.dart                             | Dart       |        803 |          9 |         19 |        831 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/new_job3/new_job3_model.dart                              | Dart       |         25 |          7 |          8 |         40 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/new_job3/new_job3_widget.dart                             | Dart       |        468 |         11 |         20 |        499 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/new_job4/new_job4_model.dart                              | Dart       |         66 |         13 |         14 |         93 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/new_job4/new_job4_widget.dart                             | Dart       |      1,289 |         22 |         21 |      1,332 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/new_job5/new_job5_model.dart                              | Dart       |         19 |          5 |          8 |         32 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/new_job5/new_job5_widget.dart                             | Dart       |        331 |          8 |         20 |        359 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/new_job6/new_job6_model.dart                              | Dart       |         40 |         12 |          9 |         61 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/new_job6/new_job6_widget.dart                             | Dart       |      1,145 |         20 |         22 |      1,187 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/new_job7/new_job7_model.dart                              | Dart       |         13 |          4 |          8 |         25 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/new_job7/new_job7_widget.dart                             | Dart       |      1,436 |          2 |         24 |      1,462 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/pending_job/pending_job_model.dart                        | Dart       |         13 |          4 |          8 |         25 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/pending_job/pending_job_widget.dart                       | Dart       |        280 |         14 |         16 |        310 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/post_job/post_job_model.dart                              | Dart       |         13 |          4 |          8 |         25 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/post_job/post_job_widget.dart                             | Dart       |         92 |          1 |         17 |        110 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/sign_up_page/sign_up_page_model.dart                      | Dart       |         32 |          8 |          8 |         48 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/sign_up_page/sign_up_page_widget.dart                     | Dart       |        425 |          0 |         14 |        439 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/sponsor_job/sponsor_job_model.dart                        | Dart       |         26 |          7 |          9 |         42 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/sponsor_job/sponsor_job_widget.dart                       | Dart       |        482 |          0 |         21 |        503 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/upload_resume/upload_resume_model.dart                    | Dart       |         17 |          4 |          8 |         29 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/upload_resume/upload_resume_widget.dart                   | Dart       |        262 |          8 |         32 |        302 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/widgets/h_t_m_l_editor_widget.dart                        | Dart       |         66 |         12 |          7 |         85 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/lib/widgets/index.dart                                        | Dart       |          1 |          0 |          1 |          2 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/linux/flutter/generated_plugin_registrant.cc                  | C++        |          7 |          4 |          5 |         16 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/linux/flutter/generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/linux/flutter/generated_plugins.cmake                         | CMake      |         19 |          0 |          6 |         25 |
| /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial/linux/main.cc                                                 | C++        |          5 |          0 |          2 |          7 |
